AVALIANDO -&gt	 rejeitando artistas" d milhares d MILHÕES -&gt
Daqui a uns anos é José Sócrates... Futre: 'Nunca mais apareceu ninguém a cair como eu na grande área'  http://bit.ly/kaiC4C	
Desta vez é a serio!" - candidato Sócrates.  - http://goo.gl/HiyAK - Eu digo: lololololololol !!!!"	
Disto é que ele gosta -- Socrates no seu melhor http://t.co/ea2UKpE via @youtube	
E a Helena a moderar. RT @Apdeites isto era mt + giro se em x do songa-monga do Louçã colocassem o Paulo frente-a-frente c o mano Miguel	
É mais fácil mentir lá fora? Sócrates a garantir que o desemprego baixaria em 2010, entre outras pérolas http://youtu.be/fL4_im--Xao	
E sim! Escrevi sócrates com letra pequenina, porque não merece mais Lol :p	
Ele sabe RT @kamponez A verdade é que nunca poderemos livrar-nos de Sócrates com um exílio dourado internacional: Freeport	
Engraçado como a malta da faculdade de direito de Lisboa, em análise, todos criticaram o aluado do Louçã.	
Esgar de nervoso RT @estrelaserrano: Este sorriso cínico do Louçã estraga-lhe tudo#debate	
este é o anuncio de que Mundo vai acabar amanhã (foto). Sócrates mentiu na questão da Privatização das Águas http://tumblr.com/xs32lovgye	
Estive a ver o debate e sinceramente...o Paulo Portas tem *ideias*, boas ou más. A única coisa que o Louçã faz é dizer isso é FEIO"."	
eu para ele desaparecer dou 5 euros RT @manuelparreira: Se todos dermos 1€ ao Sócrates, será que o gajo diz uma verdade?	
Faz! “@VPalmilha: Sócrates assina acordo com troika e diz que n é para levar à letra.Começo mm a considerar fazer queixa crime contra ele!”	
Francisco Louçã, doutorado em economia, não sabe a diferença entre milhares de milhões e biliões. segunda vez que se engana em debates.	
Grande Debate Hoje: Pinóquio versus o Coelhinho que acreditou no Pai Natal e foi ao circo	
Hoje estou capaz de adivinhar o futuro: amanhã o Sócrates voltará a mentir! E hoje à noite mentirá e dirá que a culpa é da oposição!	
Hoje, o grande confronto. Sócrates inclinará a cabecinha e soltará uma lágrima pelo país.	
ihihih RT @margvs  Ultima Hora: Louçã afinal é candidato à CE e BCE.	
Isto é recordação para se ter ?  @Peliteiro: Malta de Coimbra, alguém conheceu ou se lembra do Socrates estudante?	
Já vi gente com lata, mas o Pinócrates abusa!!!!!	
José Sócrates com a lágrima no canto do olho http://goo.gl/WaZyF	
José Sócrates e o seu mau génio perante Portugueses! http://t.co/t7c8HQa via @Portugaldebate	
Lá vem o Louçã com a conversa contra as grandes empresas... dahhh	
Mas é um actor ou um governante que vamos eleger?: O Sócrates é um fingidor.Finge tão completamenteQue chega a f... http://bit.ly/k5hohw	
merece se desaparecer de uma vez por todas deste pais, ficamos numa paz imensa RT @manuelparreira: Sócrates já merecia o Nobel da paz, não?	
Ñ sei, mas consegue criar 10 milhões de empresas... RT @manuelparreira Se todos dermos 1€ ao Sócrates, será que o gajo diz uma verdade?	
Na , Socrates é um tipo fixe ) RT @andrefgarcia ou sócrates RT @atorresferreira: Quem votou neste nobre dev… (cont) http://deck.ly/~HCq5q	
Não percebo como alguns socialistas ficam surpreendidos por ninguém querer coligar-se com eles. Depois da bancarrota Sócrates...	
Ninguém o bate nesse terreno “@horacioazevedo: Louçã a ultrapassar os limites da demagogia mais primária. #debate”	
No Forum da TSF um sr diz eu votei Socras" !!! E continua "Eu não sou Socras neste momento" !!!"	
Novamente o conceito elástico de verdade de sócrates: Claro que sócrates, enquanto ministro do ambiente, não pre... http://bit.ly/mUPhdF	
O Bloco de #Esquerda está morto... por muito que custe a admitir a Louçã e a toda a esquerda caviar" quer o venera! #debate"	
O filósofo favorito de Socrates é Confúcio	
O Louçã é um... Bom, nem tenho palavras... Muito mau	
O Portugal que o pirata Sócrates nos deixa :( http://fb.me/11m8caY26	
O socas bate... RT @gouveia: Ninguém o bate nesse terreno “@horacioazevedo: Louçã a ultrapassar os limites da demagogia mais primária....	
Ok. O Louçã não vale mesmo nada em Economia.. Juros de 30 biliões de Euros? LOOOOL #debate	
Ou será que não haviam fiéis seguidores em número suficiente para se inscrever para ir elogiar o querido lider? #socrates #forum #tsf	
Ouvi o candidato do PS dizer no Alentejo que desta vez è a serio! Então os passados 6 Anos foram a brincar? Palhaço!	
Para quem não viu: segundo MAF, a esquerda portuguesa representada pelo Bloco de Louçã está desfazada do tempo... re: http://ff.im/DInAX	
Para Sócrates, nunca seria PM com o FMI" é diferente de "não estou disponivel para governar com o FMI". É o que eu digo, ele é uma gaja."	
PAROU TUDO: Sócrates perde as eleições... Quem é que lhe vai dar emprego?	
Pensamento do dia: Deixar o Sócrates a gerir os 78 mil milhões é como promover o BIBI a chefe dos escuteiros" !!!"	
Pensamento do dia: Pôr o Sócrates a gerir os 78 mil milhões...é como promover o Bibi a chefe dos escuteiros""	
Quando vejo um vendedor a dizer que o produto dele não tem defeitos... Que é mesmo bom! Começo logo a ver se é o 'Socas'... Hábitos!...	
@edgardurao vi hj a repeticao. realmente o socrates repetiu-se buereré e apresentava mto desgaste	
@IsabelTCruz Com um bocado de sorte fomos teleportados para fora do mundinho do Sócrates	
@IsabelTCruz Sócrates está em td o lado, Sócrates salva, Sócrates baixa os juros do BCE , só ñ conseguiu resolver Israel/Palestina	
@jpmagallanes por alguma razão o sócrates está a concorrer para a 3ª eleição.. é inacreditável	
@lilidacal fixe era o mundo acabar para o sócrates	
@ml_brito o PPC ser um péssimo cabeça de lista,não faz do Sócrates um mal menor.É necessário alterar as políticas d fundo.Esses 2 são gémeos	
@paulopedroso @VPalmilha Chaton" escaldado de água fria tem medo... por isso não me fio mais nas "promessas" do Socras."	
#apombalivre: o passos_coelho não tem preconceitos apenas.o passos_coelho é ele próprio um preconceito.	
#debate o ar esbugalhado de Sócrates não engana...vai acabar a distribuir chapada. Pentelhos me mordam...	
#debate O Sócrates vem com um discurso ensaiado e não se cala enquanto não o dizer.	
#e2011pt  O único deb em que Sócrates venceu claramente até hoje foi com Louçã em 2009. Fartou-se de mentir. Contra o corte de ded fiscais.	
A estratégia do PS é lógica: só mesmo estrangeiros caídos cá de pára-quedas poderão gostar de Sócrates	
Bem, vai começar a campanha de mentiras do Sócrates...	
bom, vou ficar aqui à espera q o sócrates traga o almoço, já q é ele q m alimenta. demora mto?	
Chaton" escaldado de água fria tem medo... por isso não me fio mais nas "promessas" do Socras."	
Deixem-me desempatar. Sócrates perdeu o debate. RT @Publico: Twitómetro: Sócrates e Passos com mesma percentagem de menções negativas	
E para a semana se fores de fds a Sto Tirso tb levas c/ o individuo! RT @luismelo78: Sócrates começa campanha hoje, aqui na Figueira da Foz.	
E Sócrates continua a tentar criar medos @Lusa_noticias: Líder do PSD tem "preconceito social" e contra "tudo o que é público" - Sócrates""	
Este socrates não aprende a ser sério! @Lusa_noticias: Sócrates acusa PSD de querer pôr os cidadãos a pagar mais pelo SNS""	
José Sócrates em 2011 parece MFLeite em 2009: quer um cheque em branco porque sim. Comigo vai de carrinho.	
juro que matava o sócrates #endoftheworldconfessions	
lidos os jornais encontro avaliações do debate de ontem onde se atribuiem notas às ideias de Sócrates...quais ideias?	
Louçã virou liberal anti-estado lRT @Publico: Louçã “convida” Passos Coelho à ir à Madeira ver um exemplo de “Estado gordo e irresponsável”	
Na minha opinião empate! Confesso que achava que PPC ia ser comido" pelo Socas mas afinal até se "aguentou"...siga para a campanha!"	
Nem Sócrates, nem Passos, nem Portas, nem Louçã, nem Jerónimo!!! Nenhum serve! Onde é que anda o Garcia Pereira?!	
O PS de Sócrates promete continuar igual a si próprio: mudar um pouco para que tudo fique na mesma. É hora de arriscar numa mudança a sério	
Olha, diz que o Cassiano Reinaldo bateu o record de golos. O Sócras já tinha batido o de dívida pública e desemprego. Portugal em alta.	
Olhameste “@Publico: Louçã quer que campanha volte “ao mundo real” e pede “justiça” na economia http://t.co/ovrugvq”	
Os debates sem o Louçã não têm tanta piada! RT @ajsborges: O Passos está a safar-se	
Passos Coelho deu ontem um passo de gigante para alcançar a vitória nas legislativas contra um Sócrates sem força nem convicção	
Pôr o Sócrates a gerir os 78 mil milhões é como promover o Bibi a chefe dos escuteiros.	
RT @31daSarrafada: RT @FantasmaDireita: O Sócrates O Povador quer fundar um novo Martim Moniz com indianos e paquistaneses na Praça do G ...	
RT @FantasmaDireita: O Sócrates O Povador quer fundar um novo Martim Moniz com indianos e paquistaneses na Praça do Geraldo em Évora!	
RT @vd: ouvido no elevador	 ontem o Passos jogou para empatar e Socrates empatou o maximo que podia""
Se o mundo acabar hoje Sócrates n terá o que destruir depois de 5 de Junho.	
Socorro já não aguento o Sócrates.	
Socrates cheira já um pouco a Salazar, só que Salazar era honesto" - Felicia Cabrita"	
Support Fora Socrates: add a #PicBadge to your image - http://www.picbadges.com/?p=1736022	
Tens o cerebro em modo Socrates hoje é? RT @FantasmaDireita: Demorei 5segundo a chegar lá! RT @luis_grave: Trocaste o I com o M	
um mote gasto, de tão usado por Louçã. Quererá roubar votos ao BE?  RT@fcancio passos veio c 1 mote: '700mil desempregados'.	
RT @LuisFrade: Votem Sócrates povo ignorante e facilmente manipulàvel.  Votem na miseria por medo da mudança.	
@peminuro Espera aí, ó Sócrates, foi um debate esclarecedor? Onde? #debate »»» o Sr engenheiro" disse isso? lucidez procura-se!"	
Que bela tareia que Passos lhe deu! Sócrates hoje merece um sofá antes de ir para a cadeia pelo que fez ao país!	
@hugopalmeida essa é para rir nao? Com uma campanha baseada no ataque ao progrma dos adversários Sócrates tem apresentado muitos argumentos	
#debate socrates continua a debater - incrível!	
O Sócrates fala tanto do Passos Coelho, só pode ser paixão reprimida #debate	
#e2011pt Quanto custará um lugar na UNESCO, ou algo assim, para o Sócrates? Vai ser melhor que o termos por cá, mesmo na oposição	
olha o cassete Socras....	
Votem Sócrates povo ignorante e facilmente manipulàvel.  Votem na miseria por medo da mudança.	
se for de ideias, PPC.. de showoff foi e smp sera socrates RT @Sebas61: Quem ganhou o debate pra vcs?	
@czorrinho quem esta necessitado é o País! Sócrates, o PS e até vexa puseram-nos de mão estendida.	
para quem achava que o PPC ia levar uma abada do Eng., pois enganou-se. Prova: a cara do Sócrates no fim do #debate	
Sim, até porque os desempregados são do Sócrates. A ele o devem. RT @PauloQuerido: O PSD a apelar aos desempregados, é para rir.	
É arrepiante e frustante viver num pais onde Sócrates ainda tem lugar para falar, onde ainda o ouvem para liderar sei lá o quê #bancarrota	
e o Coelho? “@casimiro19: RT @Detig: RT @joaons: Lewis Carroll se tivesse vivido nos nossos dias teria escrito Sócrates País da Maravilhas"	
RT @dita_dura: Para a história fica a derrota de Sócrates neste debate.	
E que o Sócrates precisa de ir ao dentista fazer um branqueamento? È no q dá estes close-ups..	
Para a história fica a derrota de Sócrates neste debate.	
«#Sócras, filho, vai vender #magalhães para a Sibéria que fazes cá tanta falta como a fome» #debate	
HAHAHAHAHAHAHA RT @Madkutz: Os PCs a crasharem feio! Blue screens e o caraças. Onde o Socrates toca fode tudo! Esta provado!	
Sócrates deixa-nos a vergonha e o vexame da mão estendida", Nuno Melo, em Albergaria. Este é o momento. Por ti. Por todos. Portugal."	
o debate: Sócrates perdeu hoje o debate e perdeu as eleições. Passos surpreendeu-o e surpreendeu o país. Dificil... http://bit.ly/lTGvb1	
Pedro Passos Coelho esmagou José Sócrates. #debate #ppc #socrates #e2011pt	
Mas Sócrates andou meio tremido...e conseguiu mentir com todos os dentes que tem na boca	
Se achares 1 bocado", tás a elogia-lo #LOL RT @omeuladoazul: #debate socrates é um bocado mal educado ou é impressão minha?"	
O uso de diminutivos por parte de Sócrates. A ironia com que este homem se tenta defender é deplorável.	
Grande debate, com um Sócrates sempre igual. Mau e mentiroso, e arrogante. Não fosse do PS diria que e seguramente da direita	
@Ritinha_ quais direitos laborais? Sócrates apenas diz que não se pode falar bancarrota, n se pode falar do estado em que ele deixou o País.	
Ora toma! Bye bye Sócrates.	
É assim: #Sócrates já foste. @passoscoelho @ppdpsd é um Senhor!!! Obrigado por este debate maravilhoso. Compromisso com os portugueses.	
#debate Ó Sócrates diz lá onde tens os filhos? Na pública ou no privado?	
RT @tourigo: Nao foi este #Socrates  que disse que nao governava com a troika #mentiroso	
Yo, PPCoelho, se saltares pró poleiro e fizeres mais merd@ que o Sócrates... vais ao forno. É certinho! #debate	
#debate socrates é um bocado mal educado ou é impressão minha?	
RT @osvaldo_seixas: #debate E agora Socrates faz o q sabe melhor: Olha os portugueses nos olhos e.....mente!!!	
minuto final de Sócrates foi um desastre #debate #socrates #ppc	
RT @helderlib: Projectos de casas na Covilhã? RT @cgloureiro: Sócrates admite sair da política. Diz que tem coisas para fazer ou acabar.	
RT @iPhil: O verdadeiro rosto de José Sócrates nº. 3 (e derradeiro rosto)  http://t.co/gVcfyGZ	
RT @jcaetanodias: É um profissional do descaramento. RT @pgorjao: Sócrates acusa PSD de leviandade.  Sócrates não tem um pingo de vergon ...	
RT @jcaetanodias: Sócrates diz que os portugueses conhecem bem o trabalho do governo. Não é verdade. Há trinta e tal por cento que ainda ...	
RT @JMCondeixa: Há uma boa vida que nos espera cá fora" Sócrates dixit. Numa qualquer empresa do regime?"	
RT @joaomiranda: O curso? RT @cgloureiro: Sócrates admite sair da política. Diz que tem coisas para fazer ou acabar.	
RT @kamponez: Querem impressionar os finlandeses? Nao votem no Socrates! Se Socrates vencer, ninguém mais no mundo nos leva a serio!	
RT @luismelo78: Sem dúvida... RT @miguelcizeron: Tarefa hercúlea RT @joaomiranda: Há 3 dias que consigo evitar o Sócrates e o Silva Pere ...	
^^ RT @manuelparreira: A forma como Sócrates fala com Louçã rasa a tensão sexual. Falemos de gravatas?	
RT @manuelparreira: Tenho que um dia destes fazer um video também sobre os podres de Sócrates. O youtube permite videos de 4 horas?	
RT @OIndesmentivel: Portugueses gostam mais do Sócrates que anuncia medidas inexistentes http://bit.ly/lHd5Qe	
RT @vascocampilho: Mentir aos portugueses não é porreiro, pá. Não nos metas nesse filme. \ Comissão Europeia desmente José Sócrates http ...	
Se isso é verdade vou ter que ir votar no PSD !!! Em 2013 a famlia" de Socrates, era dona do Pais...!!!  LO… (cont) http://deck.ly/~4c6Hk"	
:) RT @der_terrorist: Outros gráficos a la Paulo Portas    http://yfrog.com/h8fqpp	
Sem dúvida... RT @miguelcizeron: Tarefa hercúlea RT @joaomiranda: Há 3 dias que consigo evitar o Sócrates e o Silva Pereira nas TVs	
Tarefa hercúlea RT @joaomiranda: Há 3 dias que consigo evitar o Sócrates e o Silva Pereira nas TVs	
Tenho que um dia destes fazer um video também sobre os podres de Sócrates. O youtube permite videos de 4 horas?	
Traduzir a bancarrota: A desconsideração que José Sócrates tem pela verdade e pelos portugueses, explica que o g... http://bit.ly/kk2bVZ	
Vê-se. Ou é isto ou o Sócrates... “@FantasmaDaTribo: E isso presta? Pelo que vi é fraquinho!	
Ver o Expresso da Meia-Noite (SIC Notícias) lembra-me sempre que há algures na Turquia uma prisão à espera de Sócrates.	
Vergonha ...!!! Vem o porta voz da U.E. dizer que José Socrates é P.M. de Portugal n/da Grecia nem Irlanda ...justificações\comparações LOL	
Whaaaat, o Sócrates outra vez na tv? Viva a pré-campanha.	
Falta de preparação para a asneira e incompetência @itwitting Sócras #vigarista acusa PSD de leviandade, imaturidade e falta de preparação	
Para Adelino Maltez: a dif p as 2 vezes que chamaram o FMI é q na altura era o PSocialista que estava no Governo, agora é o Partido Sócrates	
:D “@Apdeites: Quem disse isso? O Sócrates ou o Louçã? Passou-me... RT @Carla_46: tenho q fazer dieta”	
RT @andrecruzzz: Um dia destes socrates caminhara sobre corpos nus deitados #plataformasocrates2011	
@gonun13 E notou-se outra coisa...Portas tentou identificar o Sócrates como inimigo" comum...mas o Jerónimo não foi atrás...infelizmente!"	
Gosto do minuto aos eleitores... Se fôr preciso Sócrates chora...com a ajuda do Luís...	
:D RT @camandro: O Paulo portas está a ver a #eurovision e a dizer que estes sanmarinos ainda são piores do que os que ele comprou!	
:RT @margvs Deviam avisar o Federer destes gráficos à Paulo Portas:basta apagar o Nadal e o Djokovic e volta a ser n.º 1 no ATP.	
@JMF1957 mas este Jeronimo vive em que pais? Nem o Socrates habita o mesmo pais que ele!!!	
#debate Portas um «home sério e honesto» à conquista de Portugal. O duello sócas/portas é cada vez mais aptecido do passos/socas	
RT @AndreSantoos: José Socrates está internado no Júlio de Matos. Pelos vistos só ouve passos de coelhos e portas a bater.	
José Socrates está internado no Júlio de Matos. Pelos vistos só ouve passos de coelhos e portas a bater.	
#debate Portas é quase tão bom em comunicação como Sócrates. Ambos eram bem capazes de vender frigoríficos a um esquimó distraído...	
@bytoke #debate sobre o futuro que sócrates nos roubou?	
Mesma linha de Sócrates Não governo com FMI"  RT @Jo4nito: Paulo Portas, em 2011: «se eu for primeiro ministro»(...) . irrita ou sou só eu?"	
@bossito o Sócrates consegue ser pior, foi capaz de fazer uma declaração ao país a anunciar o q não estava no acordo da Troika	
José Sócrates vai parar no hosp Sobral Cid por alegadas alucinações: diz que ouve Portas a bater e Passos de coelho. {Interna da Tugolândia}	
Contradições de Sócrates seriam um tiro no pé se ele fosse Passos Coelho	
Como é k é possível o Sócrates continuar a dizer k afinal ñ precisávamos da ajuda externa??? E ainda ser aplaudido?... 'Tá tudo louco???	
Este gajo já enjoa #porra #sócras	
obrigada, ja posso mudar RT @wOwtaku: Calma, ele já se calou. 	) #Socrates #sucks (and #spits?). RT @Amsguimaraes: Está o mentiroso a ...
Oiço Sócrates e relembro recortes dos discursos de Mussolini	
@apombalivre nisso concordo...cavaco tem tanto de idiota senil como sócrates de aldrabão incompetente...	
RT @wOwtaku: Ó #Socrates (pá..) vai-te #catar, mais a tua vitimização infantil. Cresce! (politica e moralmente, mas não só).	
Cavaco tem tanto de senil como Sócrates de aldrabão!!	
Francisco Louçã ataque Socrates: finalmente!	
@apombalivre Realmente acho que devia dizer mal de Sócrates abertamente e não entrelinhas,...:)	
Se é para distribuir sacrifícios de forma justa, proponho que, os 86 mil milh_es de €'s, sejam pagos entre Cavaco, Sócrates e Constâncio.	
Vou escrever uma carta ao Socrates a dizer que quero conhecer o justin u.u	
Dass, o SLB só me deu desgostos esta época, mas ao menos o Socrates não vai ser reeleito... oh wait --' #melão #pqp #povoburro	
@ #freeport hummm... Que cheirinho a #socrates... As compritas e tal, quer dizer, ando a acompanhar, ja dei 10 voltas na zara...	
@almaradona n_o me estragues o dia. Consegui passá-lo sem ouvir o Sócrates	
@AntonioJCCunha nao uses imagens de palhaco do socrates, ha pessoas q acham piada e compelem-se a votar nele.	
@atorresferreira esse manda mais q o socras	
@bifeahcasa É preciso chumbar-se o PEC 4 para se chamar o FMI? :S Isso é QUASE o argumento furado do Sócrates. @jmf1957	
@bifeahcasa Sócrates aumenta buraco camada de ozono: Sócrates o esburacador... http://bit.ly/kQOkHr	
@BrunoMonteiro O catroga fritou, e o mini-socrates é mesmo isso, um mini-socrates. O socrates já é o que é, esse então, coitadito.	
@bytoke @margvs Já José Sócrates é com os números. A infografia do Jornal Negócios espelha bem a gestão danosa de Sócrates.	
@bytoke Com Sócrates é muito difícil, tem anticorpos em todo lado e ñ gera  confiança. condição  essencial para haver um acordo.	
@ChicodeOeiras @Calvas Socrates e Vieira é tudo igual.. mas o Vieira ainda tem mais instinto de sobrevivencia	
@HumordoBaninha Sócrates aumenta buraco camada de ozono: Sócrates o esburacador... http://bit.ly/kQOkHr	
@itwitting Sócrates é bom a acusar os outros...já o mea culpa...	
@jbizarro Sócrates aumenta buraco camada de ozono: Sócrates o esburacador... http://bit.ly/kQOkHr	
@kamponez não se faça silêncio sobre Sócrates: as pessoas ficam com saudades e votam nele.	
@Lusa_noticias Sócrates aumenta buraco camada de ozono: Sócrates o esburacador... http://bit.ly/kQOkHr	
@maisfutebol_iol Sócrates aumenta buraco camada de ozono: Sócrates o esburacador... http://bit.ly/kQOkHr	
@paulopedroso Eu não tenho nada de pessoal contra Sócrates ou os seus apoiantes. Politicamente, não lhes reconheço qualquer coerência.	
@zipmaria i give him the orbit! (david's mad, screaming) can you hear me, josé sócrates? i'll put you in orbit, you... you... you!	
@zipmaria josé sócrates = worst. politician. ever.	
#p&c António Esteves Martins diz que os gregos fizeram batata. Faltou dizer que Sócrates tb é batoteiro	
#p&c Esteves Martins relativiza o problema do país ao estilo de Sócrates. Na lógica do há piores que nós"..."	
A opção económica é clara: José Sócrates aposta no TGV, Passos Coelho na redução da TSU. Como eu não sou trolha, sei bem em quem votar...	
A ouvir o Sócrates fico sempre na dúvida. Mas afinal a culpa é dá crise internacional ou da oposição? Eu sei, é de todos menos do eleito.	
A tarefa do Sócras até ao final da campanha é dizer mal do PSD e do Paços, o resto que fo...Da imensa dificuldade para que estamos guardados	
Além de comprar cursos ao Domingo, Sócrates também comprar submarinos. 78 mil milhões ....em seis anos.Acho que deve ter comprado algo mais.	
Além de pagar cursos ao Domingo, Sócrates também paga submarinos. 78 mil milhões ....em seis anos.Acho que deve ter pago mt coisa.	
As desculpas de Luís Filipe Vieira p/ o insucesso do Benfica sao ao nível das de José Sócrates p/ estado a q chegou Portugal...	
Até agora partidos parlamentares estão assim: PSD à direita da troika	 PS e CDS com ela
Camaradas pá! Recebemos uma mensagem de apoio do nosso camarada Zé Socras pá!! http://fb.me/MilOGp1L	
CampusCartoons Sócrates aumenta buraco camada de ozono: Sócrates o esburacador... http://bit.ly/kQOkHr	
candidato josé sócrates", sff.  @NadiaMelk Eu preferia chamar-lhe semi-engenheiro sousa, mas ok..."	
Começo a dar valor aos defensores de Socrates, depois da entrevista de ontem arranjar argumentos para defender o homem não é facil.	
Como explica #Sócrates ter a banca o mesmo ou maior lucro em 2010 e pagar menos impostos? http://twitpic.com/3z2szt via @CienAoNatural	
Continuem a comprar as mentiras do Sócrates! http://fb.me/G9xHzQH7	
Digam-me: o clone do Sócrates não usou o período 2007-2009 para analisar a dívida pública na UE quando já existem dados para 2010, pois não?	
Do blog: A violação grotesca de Sócrates http://bit.ly/kVRwRP	
E com o meu estás lixado RT @TeRebelo Sócrates: Ganhei este debate e vou ganhar as eleições"  ?! Com o meu voto, não vais de certeza!"	
É com pensadores" de elite como este Coelho que o regabofe continua. São também estes o tolos que continuam a apoiar o Sócrates"	
E já chegou ver Sócrates, chega d propaganda e spin para 1 dia RT @joaomiranda Também não vejo coisas onde entre o Silva Pereira	
É preciso ser sádico...RT @rsaraiva: A ver repetição do debate Portas vs Sócrates	
Ele é q os arruinou RT @fcancio: esses países são 1 mentira do sócrates RT @aminhabola: o catroga n deve saber onde sao a grecia e a irlanda	
Então é tudo submarinos ...LOL Socrates ficou calado...!! Portas compra dois mas José Socrates queria quatr… (cont) http://deck.ly/~hFJdx	
Espero que o próximo governo guarde de Sócrates a vontade de enfrentar corporações (profs, juízes, farmácias). Tudo o resto, dispensa-se.	
'esse maremoto contra o trabalhador'. onde é q louçã vai buscar estas expressões ridículas?	
'louçã' é tendência em #Lisbon http://trendsmap.com/pt/lisbon	
“@fcancio: RT @margvs: Louçã diz que é contra a saída do euro	 mas propõe uma solução que implica essa saída.”
Esta gajo q está a falar no prós e contras é o Sócrates disfarçado?	
exportações aumentam --&gt	 é culpa do socas : http://goo.gl/3u1yp
“@JMF1957: #debate Quando a classe média vai à carteira encontra lá uma mão, mas não é a minha" - Louçã”"	
Farrobadó Portugal: As burlas do poder !!!! O baú da mixórdia" do actual governo, o reino de Sócrates e compa… (cont) http://deck.ly/~w7rOs"	
Fátima Campos Ferreira foi colega de Inglês de Zézé Camarinha e José Sócrates. (RC)	
Geriu? Lol.. acho que dá um mau nome ao termo gerir" RT @dita_dura: José Sócrates geriu a crise de forma "aterradora" http://t.co/MvA4qNl"	
“@passoscoelho: Não contem comigo para fazer de José Sócrates, p/ dizer que vai ser tudo fácil, p/ não dizer a verdade http://t.co/KcoieY0”	
Hoje desde manhã que ando com uma música na cabeça e não sai: You cannot run a monetary union with the likes of Mr Sócrates". Boa noite!"	
“Passos Coelho e Paulo Portas dividem o país entre si como se fosse uma pizza \ Esquerda http://t.co/5h1wtGk via @AddThis"	
Importante confrontar Sócrates com a irresponsabilidade de ter baixado o IVA e aumentado salários funç púb em 2009 para vencer eleições?	
isso foi um duplo  erro RT “@luismelo78:  Dps de ouvir Sócrates na TVI e o seu clone na RTP	
já nem sequer consegue ouvir a voz de Sócrates, quanto mais compreender que há quem vote nele... outra vez.	
Já só Sócrates aceita governar com Sócrates... RT @CDSPP CDS-PP também recusa governar com Sócrates	
José Sócrates geriu a crise de forma aterradora" http://t.co/KMqNzY4"	
José Sócrates o Rei da Mentira" !!! E de outras coisas ..., nunca vistas em DEMOCRACIAS ..!!!! LOL (in http://is.gd/dcJYfT"	
“Quem nós não podemos beneficiar são aqueles que podendo trabalhar não o querem fazer e preferem viver de prestações sociais” - Paulo Portas	
«Carta de Louçã foi uma gaffe», diz Mendes. Really?	
josé sócrates, o pantomineiro: josé sócrates, fiquei hoje a saber, é um senhor muito rico que só por grosseira i... http://bit.ly/kUv8Zq	
Li e Gostei: Comunicação social criticando josé sócrates: o mundo ao contrário http://ow.ly/1czKBm	
«Habilidades que Paulo Portas aprendeu na Irlanda» (blogpost) http://t.co/h9jp6m4 via @AddThis	
Liguem a TSF Sócrates vai fazer ILusionismo na próxima hora	
Lista de Signatários da Petição Para julgar em tribunal o eng. José Sócrates por gestão danosa dos dinheiros publicos: http://bit.ly/klY5zM	
Livro de estilo do jornalismo português: sim, o Sócrates é mau, mas a direita é uma filha da puta" (VII)  http://is.gd/PNbYCQ"	
mau.. o socrates tb e presidente do benfica ??? RT @ChicodeOeiras: RT @trainmaniac: «Não estou agarrado à pres… (cont) http://deck.ly/~pVrPT	
Mr. Sócrates, read my lips::  There is no such thing as Public Money"!!!! http://bit.ly/kk9TyP"	
n tem vergonha na cara rt @gouveia: como é possível? “@rui_castro: #debate sócrates invoca os spreads baixos para o tgv continuar”	
Na mesma notícia: “Não se pode dirigir uma união monetária com pessoas como o sr. Sócrates"	na mesma notícia: “não se pode dirigir uma união monetária com pessoas como o sr. sócrates""
Nao consegui ver o debate de socrates com portas! Ja nao aguento ouvir o candidato socrates	
Não perca este vídeo -- A Gafe de Sócrates http://t.co/ab6RasC vía @youtube	
Não se deve colocar os 78 mil milhões da ajuda financeira externa nas mãos de quem andou a gastar mais e a endividar mais ou seja Sócrates	
Não se faça piadas com Sócrates: as pessoas acham graça e compelem-se a votar nele.	
Não se faça silêncio sobre Sócrates: as pessoas ficam com saudades e votam nele. (@ana_marques_)	
Não tenho nada contra o Sócrates. Ainda não encontrei algo suficientemente afiado para usar.	
Não vejo o artigo @pedromamede Entretanto aqui fica o artigo que José Sócrates diz desconhecer.. se interessar, claro! http://bit.ly/jNMxEn	
Neste momento, os Homens da Luta são mais credíveis que Sócrates, na Europa.	
No meu caso, com o afastamento de Sócrates já o meu fel acalmava... @Rui_Castro @horacioazevedo	
O candidato José Sócrates não habita na mesma realidade da maioria dos portugueses" we hope #fb"	
O debate de Socrates com Portas, deixou uma permissa bem clara: nenhum dos dois sera o proximo primeiro ministro	
O melhor que temos a fazer, é elogiar Sócrates. As pessoas sentirão inveja e não votarão nele.	
O mundo mudou!!! Até Raul Vaz já critica Sócrates	
O que ficou claro, não foi a tirada alucinada do Pinóquio Pinto de Sousa, mas que o CDS-PP não aceita o PS como... http://fb.me/PFuzbHke	
o Silva Pereira a fazer beicinho, tipo socrates, assusta-me!!	
Ontem no debate entre o Socrates e o Portas apenas uma coisa ficou clara. O rimel do Portas era mais clarinho...	
Ora vejamos, se votássemos em pessoas e não em partidos, o Sócrates e o Passos já eram, ou nem sequer tinham chegado a ser...	
«O gráfico malandro de Paulo Portas» http://is.gd/rkJ6RJ	
Papagaios!!!  Estou a ver o Sócrates e o Portas.	
Para bem de Portugal RT @luismenezes1980: O debate de Socrates com Portas, deixou uma permissa bem clara: nenhum dos dois sera o proximo PM	
